;IDIndikator;Indikator;mes;god;idter;nter;vrednost;CreateDate;LastUpdate;IDLegenda;nIzvorI
3390;IND02M48;Број активних предузетника по NACE Rev.2  (сектор U);5;2021;70491;Деспотовац;0;6/8/2021 3:37:44 PM;6/8/2021 3:37:44 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3391;IND02M49;Број основаних предузетника;5;2021;70491;Деспотовац;7;6/8/2021 3:37:44 PM;6/8/2021 3:37:44 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3392;IND02M50;Број брисаних предузетника;5;2021;70491;Деспотовац;8;6/8/2021 3:37:44 PM;6/8/2021 3:37:44 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3393;IND02M51;Број активних предузетника у ликвидацији;5;2021;70491;Деспотовац;0;6/8/2021 3:37:44 PM;6/8/2021 3:37:44 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3394;IND02M52;Број активних предузетника у стечају;5;2021;70491;Деспотовац;0;6/8/2021 3:37:44 PM;6/8/2021 3:37:44 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3395;IND02M53;Број извозника ;3;2021;70491;Деспотовац;3;4/29/2021 1:50:39 PM;4/29/2021 1:50:39 PM;P;Управа царине и Електро мрежа Србије (УЦ и ЕМС)
3396;IND02M54;Вредност извоза у РСД;3;2021;70491;Деспотовац;18110209.58;4/29/2021 1:50:39 PM;4/29/2021 1:50:39 PM;P;Управа царине и Електро мрежа Србије (УЦ и ЕМС)
3397;IND02M55;Вредност извоза у УСД;3;2021;70491;Деспотовац;154028.521469773;4/29/2021 1:50:39 PM;4/29/2021 1:50:39 PM;P;Управа царине и Електро мрежа Србије (УЦ и ЕМС)
3398;IND02M56;Вредност извоза у ЕУР;3;2021;70491;Деспотовац;183876.201591098;4/29/2021 1:50:39 PM;4/29/2021 1:50:39 PM;P;Управа царине и Електро мрежа Србије (УЦ и ЕМС)
3399;IND03M03;Број регистрованих незапослених ;5;2021;70491;Деспотовац;1674;6/14/2021 9:02:19 AM;6/14/2021 9:02:19 AM;A;Национална служба за запошљавање (НСЗ)
3400;IND03M08;Просечна нето зарада за месец, према општини пребивалишта запослених;4;2021;70491;Деспотовац;52745;6/16/2021 1:24:59 PM;6/25/2021 12:00:38 PM;A;Републички завод за статистику (РЗС)
3401;IND03M09;Просечна нето зарада за период јануар-текући месец, према општини пребивалишта запослених;4;2021;70491;Деспотовац;52149;6/16/2021 1:24:58 PM;6/25/2021 12:00:48 PM;A;Републички завод за статистику (РЗС)
3402;IND00M01;Градоначелник/председник општине;6;2021;70505;Димитровград;ВЛАДИЦА ДИМИТРОВ;6/1/2021 9:41:50 AM;6/1/2021 9:41:50 AM;A;Републички завод за статистику (РЗС)
3403;IND01G01;Површина (у км²);0;2020;70505;Димитровград;483;1/27/2021 10:15:40 AM;1/27/2021 10:22:18 AM;A;Републички геодетски завод (РГЗ)
3404;IND01G02;Број становника - процена (последњи расположив податак за годину);0;2019;70505;Димитровград;9104;7/1/2020 1:01:17 PM;7/1/2020 1:01:17 PM;A;Републички завод за статистику (РЗС)
3405;IND01G03;Густина насељености (број становника / км2);0;2019;70505;Димитровград;19;7/1/2020 1:01:17 PM;7/1/2020 1:01:17 PM;A;Републички завод за статистику (РЗС)
3406;IND01G04;Број насеља;0;2020;70505;Димитровград;43;1/27/2021 10:15:40 AM;1/27/2021 10:22:18 AM;A;Републички завод за статистику (РЗС)
